Name,
Anise
Ayiana
Bastet
Cassandra
Catherine
Clare
Drey'auc
Elizabeth
Freya
Gairwyn
Hathor
Ishta
Janet
Jennifer
Jenny
Kali
Kendra
Laira
Linea
Lya
Merrin
Nirrti
Nya
Reese
Samantha (Carter)
Sara
Sarah
Satterfield
Sha're
Shau'nauc
Shyla
Svetlana
Travell
Vala
Yosuuf
